shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SH1,39.746472963926266,-8.803978831434387,1
SH1,39.74799398983574,-8.80387807685887,2
SH1,39.74979040444038,-8.806582004471508,3
SH1,39.75213196444868,-8.807534697583042,4
SH1,39.75245084320429,-8.808635907865161,5
SH1,39.75428847223228,-8.81187615620379,6
SH1,39.75466017977154,-8.820511471249018,7
SH1,39.75555669942769,-8.823517034075238,8
SH1,39.7569100548871,-8.82330065718406,9
SH1,39.7588325233402,-8.821714196389776,10
SH1,39.76081061642925,-8.82159983380032,11
SH1,39.76305660223604,-8.822578018360579,12
SH1,39.76424367369894,-8.824925838820116,13
SH1,39.76164147038948,-8.824332632878914,14
SH1,39.75906247535405,-8.825462048185274,15
SH1,39.7565917375804,-8.827208867717887,16
SH1,39.75527302619123,-8.822892003986656,17
SH1,39.75457644493237,-8.820678452046842,18
SH1,39.750755078683845,-8.812474258354802,19
SH1,39.74969319691178,-8.809176722460267,20
SH1,39.74679297496132,-8.8154090186598,21
SH1,39.74438933792627,-8.814232024081862,22
SH1,39.74298033669601,-8.811968775587914,23
SH1,39.74108822577519,-8.811335349123441,24
SH1,39.73950408047108,-8.815942999776524,25
SH1,39.73375793875827,-8.823157089104177,26
SH1,39.73316884360682,-8.820953976506257,27
SH1,39.73521843637866,-8.823224119361035,28
SH1,39.72707880440263,-8.812253356150014,29
SH1,39.72996814411709,-8.810110085151587,30
SH1,39.732881429646646,-8.80960470430765,31
SH1,39.73688639828463,-8.810776711228344,32
SH1,39.73911868058745,-8.808946225455134,33
SH1,39.73965435669537,-8.806161935750954,34
SH1,39.73912847928311,-8.804066081911259,35
SH1,39.73694131604107,-8.800843357809807,36
SH1,39.73415427754461,-8.79937236425564,37
SH1,39.73197481451816,-8.794968454303572,38
SH1,39.73213988576586,-8.791464029922869,39
SH1,39.73519792625542,-8.792555465646753,40
SH1,39.73608093557608,-8.793803562566845,41
SH1,39.74393972410096,-8.793684938572222,42
SH1,39.74247171317816,-8.794360643852515,43
SH1,39.7445269550646,-8.792239109929122,44
SH1,39.743286321788,-8.792508274975068,45
SH1,39.741147078617104,-8.79577873834951,46
SH1,39.74115185774075,-8.798469803798701,47
SH1,39.7415770953199,-8.799945199518474,48
SH1,39.74264146731794,-8.801816107768186,49
SH1,39.74529274728037,-8.806199979626903,50
SH1,39.746472963926266,-8.803978831434387,51
SH2,39.746472963926266,-8.803978831434387,1
SH2,39.74976899019463,-8.806546011406512,2
SH2,39.74856714245944,-8.805763790374234,3
SH2,39.74588861553468,-8.805903413137873,4
SH2,39.74321071157806,-8.806120056253288,5
SH2,39.74267433415376,-8.802082469637178,6
SH2,39.74138343338345,-8.799798622390355,7
SH2,39.744041847288266,-8.793681440217814,8
SH2,39.74256880623285,-8.794348551454366,9
SH2,39.744564471034,-8.792231330246208,10
SH2,39.74328883494193,-8.792533433856304,11
SH2,39.735967903526834,-8.793898881187753,12
SH2,39.73490217220751,-8.79249160595265,13
SH2,39.73364706118429,-8.795578441371735,14
SH2,39.73413769193305,-8.799111012882753,15
SH2,39.745,-8.799,16
SH2,39.73946720679117,-8.802739204757708,17
SH2,39.73984160256604,-8.806194046504782,18
SH2,39.738866948388704,-8.809012531429714,19
SH2,39.73704643994409,-8.810751986091859,20
SH2,39.73371265550766,-8.823153211087902,21
SH2,39.73321385004039,-8.820936235760179,22
SH2,39.73517312678647,-8.82322686082525,23
SH2,39.73934725386332,-8.815736870971701,24
SH2,39.740269733470456,-8.81185454154821,25
SH2,39.742979586846175,-8.813610461095415,26
SH2,39.74254806336955,-8.811203515571865,27
SH2,39.74582600794259,-8.813986357522452,28
SH2,39.74692495802398,-8.815079003987105,29
SH2,39.74872895456759,-8.80961208864148,30
SH2,39.74986380323589,-8.808902418672256,31
SH2,39.75107944206839,-8.812612021187054,32
SH2,39.754673548328086,-8.820518939438063,33
SH2,39.755561103232736,-8.82351597798564,34
SH2,39.7570274345733,-8.82327854631377,35
SH2,39.75892755646672,-8.821684064825947,36
SH2,39.76088486591457,-8.821625639614222,37
SH2,39.76307059544673,-8.822590838771685,38
SH2,39.76423837517781,-8.824958625320576,39
SH2,39.76171036855224,-8.82430692303617,40
SH2,39.75909246228934,-8.825464585478233,41
SH2,39.75658709824015,-8.82721650577691,42
SH2,39.755290350565694,-8.822894864463356,43
SH2,39.75457487757317,-8.820671742597865,44
SH2,39.75420031116373,-8.812302994303693,45
SH2,39.75235773796494,-8.808655395757466,46
SH2,39.7521464709237,-8.80766520034645,47
SH2,39.74859035373754,-8.80576546813664,48
SH2,39.745878451988304,-8.805893084970077,49
SH2,39.746472963926266,-8.803978831434387,50
SH9,39.7461,-8.8091,1
SH9,39.7494,-8.806,2
SH9,39.747,-8.8055,3
SH9,39.7456,-8.8066,4
SH9,39.7448,-8.8073,5
SH9,39.7437,-8.8037,6
SH9,39.7415,-8.7995,7
SH9,39.744,-8.8015,8
SH9,39.7455,-8.8025,9
SH9,39.7355,-8.814,10
SH9,39.7335,-8.821,11
SH9,39.735,-8.815,12
SH9,39.738,-8.8125,13
SH9,39.741,-8.8103,14
SH9,39.7395,-8.8145,15
SH9,39.7415,-8.8135,16
SH9,39.745,-8.8105,17
SH9,39.7435,-8.812,18
SH9,39.747,-8.8055,19
SH9,39.7456,-8.8066,20
SH9,39.7461,-8.8091,21
